Nr,Opcja,Poprawna
,Wykonuj jednocześnie ciągi operacji jednoargumentowych takich jak selekcje i rzuty.,+
,"Przetwórz wstępnie plik we właściwy sposób (indeksy, sortowanie).",+
184,Które z poniższych stwierdzeń są prawdziwe: - (0)
,Przy warunkach zakresowych istotna jest kolejność atrybutów w kluczu wyszukiwania.,+
,Indeks haszowany na relacji wewnętrznej jest dobry dla metody Index Nested Loops Join.,+
,Pogrupowany indeks na B+ drzewie względem kolumn złączenia jest dobry dla metody Sort-Merge Join.,+
,Metoda Hash Join wymaga istnienia indeksu haszowanego.,
185,Które z poniższych stwierdzeń są prawdziwe: - (0)
,Metoda Sort-Merge Join wymaga istnienia indeksu na B+-drzewie.,
,Indeks pogrupowany jest użyteczny przy zapytaniach zakresowych a także przy mało-selektywnych zapytaniach równościowych.,+
,Aktualizacja pól wyszukiwania w indeksach spowalnia INSERT/DELETE/UPDATE.,+
,Tylko jeden indeks może być pogrupowany dla jednej tabeli.,+
186,Protokół ścisłego blokowania dwufazowego (Strict 2PL) obejmuje warunki: - (4)
,Każda transakcja musi uzyskać blokadę S na obiekcie zanim odczyta ten obiekt.,+
,"Jeśli transakcja trzyma blokadę X na obiekcie, żadna inna transakcja nie ma prawa założyć żadnej blokady (ani S ani X) na tym obiekcie.",+
,Aby założyć blokadę X transakcja musi zwolnić wszystkie swoje blokady S.,
,Blokady trzymane przez transakcję są zwalniane gdy tylko nie są jej potrzebne.,
,Każda transakcja musi uzyskać blokadę X na obiekcie przed zapisaniem go.,+
,Blokady trzymane przez transakcję są zwalniane gdy transakcja kończy się,+
187,Protokół ścisłego blokowania dwufazowego (Strict 2PL) obejmuje warunki: - (0)
,Każda transakcja musi uzyskać blokadę X na obiekcie zanim odczyta ten obiekt.,
,"Jeśli transakcja trzyma blokadę S na obiekcie, żadna inna transakcja nie ma prawa założyć żadnej blokady (ani S ani X) na tym obiekcie.",
,Blokady trzymane przez transakcję są zwalniane gdy transakcja kończy się.,+
,Z każdą blokadą X powinna być związana odpowiadająca jej blokada S ale nie na odwrót.,
188,Protokół ścisłego blokowania dwufazowego (Strict 2PL) obejmuje warunki: - (2)
,Każda transakcja musi uzyskać blokadę X na obiekcie przed zapisaniem go.,+
,"Jeśli transakcja trzyma blokadę S na obiekcie, żadna inna transakcja nie ma prawa założyć żadnej blokady (ani S ani X) na tym obiekcie.",
,Dwie współpracujące ze sobą transakcje mogą wspólnie założyć jedną blokadę X.,
,"W pierwszej fazie transakcja zakłada blokady, w drugiej fazie je zwalnia w dowolnej kolejności.",
189,Aby zapobiec zakleszczeniu (deadlock) wystarczy: - (0)
,"uzależniać założenie blokady od priorytetu transakcji,",+
,"uzależniać założenie nowej blokady od liczby założonych już przez transakcję blokad,",
,"pozwalać tylko jednej transakcji na założenie blokady X,",
,"sprawdzać, czy w grafie oczekiwania na zwolnienie blokady występuje cykl.",+
190,Fantomem nazywamy: - (2)
,"tabelę, do której nie ma dostępu żaden użytkownik,",
,"wiersz, który został usunięty z tabeli, po tym jak inna transakcja odczytała ją,",
,"wiersz, który został wpisany do tabeli, po tym jak inna transakcja odczytała ją,",+
,"wiersz, który został zmieniony, po tym jak inna transakcja odczytała ją.",
191,Który rodzaj złączenia jest dobry w rozproszonej bazie danych: - (0)
,"sort-merge join,",
,"hash join,",
,"półzłączenia,",+
,złączenie zewnętrzne.,
192,Czy jest prawdą dla protokołu dwu-fazowego zatwierdzania: - (3)
,"jest tylko jeden koordynator,",+
,"koordynator podejmuje decyzję ""commit"", gdy co najmniej jeden z węzłów przesłał mu komunikat ""yes"",",
,"koordynator podejmuje decyzję ""abort"", gdy wszystkie węzły nadesłały komunikat ""no"",",
,w przypadku awarii sieci jest potrzebna dodatkowa trzecia faza.,
193,Czy jest prawdą dla protokołu dwu-fazowego zatwierdzania: - (0)
,"jeden węzeł wyróżnia się jako główny koordynator, a drugi jako zapasowy koordynator,",
,"koordynator podejmuje decyzję ""commit"", gdy każdy z węzłów przysłal mu komunikat ""yes"",",+
,"tylko koordynator zapisuje komunikaty realizacji protokołu do swojego dziennika powtórzeń,",
,w przypadku awarii koordynatora jego funkcje przejmuje inny węzeł.,
194,Czy jest prawdą: - (0)
,Bufory bazy danych zawierają używane ostatnio bloki danych z bazy danych.,+
,"Bufory bazy danych mogą zawierać zmodyfikowane dane zatwierdzonych transakcji, które jeszcze nie zostały przepisane na dysk.",+
,Bufory bazy danych zmienione przez niezatwierdzone transakcje mogą zostać przepisane na dysk.,+
,W buforach bazy danych są zapisywane pozycje segmentów wycofań.,+
195,Segmenty wycofań służą do: - (1)
,"wycofywania nie zatwierdzonych zmian przy odtwarzaniu,",+
,"zagwarantowania spójności odczytu,",+
,"realizacji transakcji korzystających ze zdjęcia migawkowego danych,",+
,przyśpieszenia wykonywania zapytań.,
196,Które z mechanizmów są używane w rozproszonej bazie danych: - (0)
,"dyspozytor,",
,"powiązanie bazodanowe,",+
,wielowersyjność,
,audyt.,
197,Które z mechanizmów są używane w rozproszonej bazie danych: - (3)
,"replikacja danych,",+
,"blokady,",+
,"transformacja STAR,",
,partycjonowanie tabeli.,
198,Które z mechanizmów są używane w rozproszonej bazie danych: - (0)
,klaster,
,"migawki,",+
,"instrukcja ANALYZE,",
,serwer równoległy.,
199,Które z mechanizmów są używane w rozproszonej bazie danych: - (0)
,"indeks bitmapowy,",
,"powiązanie bazodanowe,",+
,"hurtownia danych,",
,agregacja danych.,
200,Które z mechanizmów są używane w rozproszonej bazie danych: - (0)
,"równoległe wykonywanie zapytań,",
,"dwufazowe zatwierdzanie,",+
,"dziennik migawki,",+
,audyt.,
201,Które z mechanizmów są charakterystyczne dla hurtowni danych: - (0)
,"replikacja danych,",
,"blokady,",
,"transformacja STAR,",+
,partycjonowanie tabeli.,+
202,Które z mechanizmów są charakterystyczne dla hurtowni danych: - (1)
,"blokady,",
,"perspektywy,",
,"role,",
,indeksy bitmapowe.,+
203,Które z mechanizmów są charakterystyczne dla hurtowni danych: - (0)
,"histogram,",+
,"audyt,",
,"agregacje,",+
,profil.,
204,Które z mechanizmów są charakterystyczne dla hurtowni danych: - (0)
,"instrukcja ANALYZE,",+
,"szeregowalność,",
,"wielowymiarowość,",+
,dziennik powtórzeń.,
205,Które z mechanizmów są charakterystyczne dla hurtowni danych: - (1)
,"role,",
,"wielowymiarowość,",+
,"migawki,",+
,schemat gwiazda.,+
206,Które obiekty są związane z agregacją w hurtowni danych: - (3)
,"indeks bitmapowy,",
,"perspektywa zmaterializowana,",+
,"klaster,",
,klauzula GROUP BY.,+
207,"Dane są tabele P(A,B), Q(B,C). W aplikacji często jest wykonywane zapytanie SELECT P.A,Q.C FROM P, Q WHERE P.B=Q.B AND Q.B='&Klient'. Która ze struktur danych byłaby najkorzystniejsza: - (0)"
,"indeksy na P.B, Q.B;",
,"indeksy na P.A, Q.C;",
,klaster obejmujący P i Q z indeksem B;,+
,indeks na Q.B.,
208,"Dane są tabele P(A,B), Q(B,C). W aplikacji często jest wykonywane zapytanie SELECT P.A,Q.C FROM P, Q WHERE P.B=Q.B. Która ze struktur danych byłaby najkorzystniejsza: - (4)"
,"indeksy na P.B, Q.B;",
,"indeksy na P.A, Q.C;",+
,klaster obejmujący P i Q z indeksem B;,
,indeks na P.B.,
209,"Dane są tabele P(A,B), Q(B,C). W aplikacji często jest wykonywane zapytanie SELECT P.A,Q.B FROM P, Q WHERE P.B=Q.B AND Q.C='&Klient'. Która ze struktur danych byłaby najkorzystniejsza: - (0)"
,"indeksy na P.B, Q.B;",
,"indeksy na P.B, Q.C;",+
,klaster obejmujący P i Q z indeksem B;,
,indeks na Q.C.,
210,"Zastosowanie indeksu przy wyszukiwaniu jest uzasadnione, gdy dzięki niemu ograniczamy się do: - (0)"
,>=50% ogólnej liczby wierszy w tabeli.,
,<=50% ogólnej liczby wierszy w tabeli.,
,<=25% ogólnej liczby wierszy w tabeli.,+
,>=25% ogólnej liczby wierszy w tabeli.,
211,"Zastosowanie strategii tylko indeks jest stosowane, gdy: - (0)"
,"na tabeli nie jest założony żaden indeks,",
,"wyszukiwanie jest określone na perspektywie,",
,"wyszukiwanie sprowadza się do przejścia indeksu,",+
,wstawianie sprowadza się do wstawienia do indeksu.,
212,Indeks bitmapowy zakłada się na kolumnie: - (4)
,"w której liczba różnych wartości jest duża,",
,"w której liczba różnych wartości jest mała,",+
,"gdy wyszukiwanie jest określane przez równość z podanymi wartościami,",+
,gdy zachodzi konieczność sortowania względem wartości w tej kolumnie.,
213,Indeks używający B-drzewa zakłada się na kolumnie: - (0)
,"gdy wyszukiwanie po tej kolumnie daje zwykle duży zbiór wyników,",
,"gdy wyszukiwanie po tej kolumnie daje zwykle mały zbiór wyników,",+
,"gdy wyszukiwanie często dotyczy największej wartości,",+
,gdy często sortuje się dane względem tej kolumny.,+
214,Czy istniejący indeks przyśpiesza wykonanie instrukcji SELECT: - (0)
,"nigdy,",
,"zawsze,",
,czasem.,+
215,Czy istniejący indeks przyśpiesza wykonanie instrukcji INSERT: - (3)
,"nigdy,",
,"zawsze,",
,czasem.,+
216,Czy istniejący indeks przyśpiesza wykonanie instrukcji UPDATE: - (0)
,nigdy,
,zawsze,
,czasem,+
217,Czy istniejący indeks przyśpiesza wykonanie instrukcji DELETE: - (0)
,nigdy,
,zawsze,
,czasem,+
218,Czy istniejący indeks przyśpiesza wykonanie instrukcji ROLLBACK: - (0)
,nigdy,+
,zawsze,
,czasem,
219,Czy istniejący indeks przyśpiesza wykonanie instrukcji COMMIT: - (0)
,nigdy,+
,zawsze,
,czasem,
220,Użycie których metod może spowodować zmniejszenie liczby przesłań między pamięcią wewnętrzną i zewnętrzną: - (0)
,"użycie perspektywy,",
,"indeks na kolumnie klucza obcego,",+
,"zwykły indeks oparty na B-drzewie dla kolumny o dwóch wartościach,",
,indeks bitmapowy na kolumnie zawierającej nazwiska klientów.,
221,Użycie których metod może spowodować zmniejszenie liczby przesłań między pamięcią wewnętrzną i zewnętrzną: - (0)
,"zwiększenie liczby buforów,",+
,"klaster,",+
,"indeks bitmapowy na kolumnie zawierającej płeć klientów,",+
,wykonanie instrukcji SET TRANSACTION READ ONLY.,
222,Użycie których metod może spowodować zmniejszenie liczby przesłań między pamięcią wewnętrzną i zewnętrzną: - (0)
,"dodatkowa tabela pomocnicza,",+
,"indeks bitmapowy na kolumnie zawierającej płeć klientów,",+
,"wykonanie instrukcji SET TRANSACTION READ ONLY,",
,zwykły indeks oparty na B-drzewie dla kolumny zawierającej nazwiska osób.,+
223,Użycie których metod może spowodować zmniejszenie liczby przesłań między pamięcią wewnętrzną i zewnętrzną: - (0)
,"indeks bitmapowy na kolumnie zawierającej kraj, w którym mieszkają klienci,",+
,"wykonanie instrukcji ANALYZE,",+
,"wykonanie instrukcji SET TRANSACTION READ ONLY,",
224,Ile warunków złączeń potrzeba w zapytaniu aby uniknąć złączenia kartezjańskiego? - (0)
,liczba tabel minus jeden,+
,liczba kolumn minus jeden,
,liczba kolumn plus jeden,
,liczba tabel plus jeden,
225,Który z poniższych operatorów zwróci część wspólną wyników zapytań A i B zadanych w Oraclu? - (0)
,INTERSECT,+
,MINUS,
,UNION,
,UNION ALL,
226,Polecenie RENAME TABLE służy do: - (0)
,zmiany nazwy tabeli,+
,w Oraclu nie ma polecenia pozwalającego na zmianę nazwy tabeli,
,usunięcia tabeli,
,usunięcia danych z tabeli,
227,Perspektywa w PL/SQL: - (0)
,"może zostać użyta tak, jak by była tabelą np. w instrukcji SELECT, INSERT, UPDATE",+
,jest obiektem przechowującym rekordy wybrane poleceniem SELECT,
,jest obiektem utworzonym w oparciu o instrukcję SELECT,+
,wiersze (rekordy) perspektywy nie są przechowywane w bazie danych,+
228,"Które z poniższych klauzul muszą wystąpić przed GROUP BY (zakładając, że chcemy, aby w ogóle wystąpiły)? - (15)"
,INTO,
,FROM,+
,HAVING,
,WHERE,+
229,"SELECT ename, NVL(sal, 0) ""Salary"" FROM Emp WHERE Sal IS NULL ORDER BY ename; - (4)"
,0,+
,nic nie zwróci,
,spację,
,null,
230,Który z poniższych operatorów zwróci sumę zapytań bez eliminacji powtarzających się wierszy? - (0)
,MINUS,
,UNION ALL,+
,UNION,
,INTERSECT,
231,Wśród instrukcji występujących w bloku PL/SQL (między BEGIN i END) mogą się znaleźć: - (0)
,instrukcja DELETE FROM EMP,+
,obsługa wyjątku,+
,podniesienie wyjątku,+
,deklaracje klas,
232,W jaki sposób tworzy się funkcję: - (0)
,CREATE FUNCTION nazwa(lista parametrów) IS,
,CREATE FUNCTION nazwa(lista parametrów) AS,
,CREATE FUNCTION nazwa(lista parametrów) RETURN Typ IS,+
,CREATE FUNCTION nazwa(lista parametrów) RETURN Typ AS,+
233,Używając instrukcji LOCK TABLE można: - (0)
,dokonać blokady wybranego pojedynczego wiersza,
,dokonać blokady dowolnej liczby wierszy,
,dokonać blokady tabeli przed nieuprawnionym dostępem,
,dokonać blokady tabeli w trybie wyłączności,+
234,W Oracle przy wykonywaniu instrukcji CREATE PROCEDURE: - (4)
,są zakładane blokady wyłączne na występujące w treści procedury tabele,
,są zakładane blokady współdzielone na występujące w treści procedury tabele,+
,nie są zakładane żadne blokady na występujące w treści procedury tabele,
,nie są zakładane blokady jeśli w treści występują tylko instrukcje SELECT,
235,Jakie są rodzaje parametrów procedur - (2)
,out,+
,null,
,in out,+
,in,+
236,Zawartość tabeli tymczasowej może zostać zniszczona - (5)
,za pomocą instrukcji delete,
,na koniec sesji,+
,na koniec transakcji,+
,po powtórnym zalogowaniu do bazy,
237,Co będzie wynikiem realizacji instrukcji SELECT * FROM Emp WHERE EmployeeID = EmployeeID OR EmployeeID = NULL - (3)
,relacja Emp,+
,instrukcja jest niepoprawna,
,null,
,relacja pusta,
238,Które z poniższych klauzul mogą (ewentualnie muszą) wystąpić przed GROUP BY w Oraclu? - (2)
,WHERE,+
,ORDER BY,
,HAVING,+
,FROM,+
239,Transakcja w bazie danych: - (13)
,jest zakładana automatycznie przez serwer baz danych od ostatniej instrukcji DML,
,zmiana zatwierdzona przez COMMIT może być ('cośtam') wycofane przez ROLLBACK,
,to ciąg instrukcji DML i DQL wykonywanych w bazie danych,
,mogą być zatwierdzane przez programistę na żądanie,
240,Które z poniższych twierdzeń dotyczących polecenia TRUNCATE TABLE są prawdziwe? - (4)
,można wycofać jego działanie instrukcją ROLLBACK,
,można nim usunąć tylko całą zawartość tablicy,+
,jest szybsze niż polecenie DELETE TABLE,+
,nie można w nim stosować klauzuli WHERE,+
241,"Jaki będzie efekt wykonania następującego polecenia: CREATE TABLE Osoby (imie VARCHAR2(30) PRIMARY KEY, nazwisko VARCHAR2(30) PRIMARY KEY, zarobki NUMBER(7,2)) - (2)"
,przy próbie wykonania polecenia wystąpi błąd,+
,"zostanie stworzona tabela Osoby, której kluczem głównym będzie pole imie",
,"zostanie stworzona tabela Osoby, której kluczem głównym będzie zbiór złożony z pól (imie, nazwisko)",
,"zostanie stworzona tabela Osoby, której kluczem głównym będzie pole nazwisko",
242,W którym z poniższych zapytań jest użyte złączenie zewnętrzne między dwiema tabelami (w Oraclu)? - (9)
,"SELECT region.region_name, employee.salary FROM region, employee WHERE employee.salary BETWEEN region.avg_salary AND region.max_salary;",
,"SELECT region.region_name, employee.salary FROM region, employee WHERE region.id = employee.region_no;",+
,"SELECT region.region_name, employee.salary FROM region, employee WHERE region.id = employee.region_no;",
,"SELECT region.region_name, employeeinfo.last_name FROM employee region, employee employeeinfo WHERE employeeinfo.id >= region.manager_id;",
243,Poziom izolacji transakcji READ COMMITED obejmuje następujące własności: - (0)
,widać wszystkie modyfikacje wprowadzane przez równolegle trwające transakcje,
,nie można w nim modyfikować danych w bazie danych,
,"widać zmiany wprowadzane przez inne transakcje, o ile tamte zakończyły się zatwierdzeniem",+
244,Klauzula START WITH określa: - (0)
,korzeń drzewa,+
,na jakim poziomie drzewa znajduje się dany wiersz w stosunku do wiersza stanowiącego korzeń,
,syna dla ojca,
245,"Wykonujesz następujące zapytanie:SELECT e1.ename||' pracuje dla' ||e2.ename ""Pracownicy i ich szefowie"" FROM emp e1, emp e2 WHERE e1.mgr=e2.empno;Jaki to jest rodzaj złączenia? - (0)"
,kartezjańskie,
,zewnętrzne,
,samozłączenie,+
246,W którym z poniższych zapytań jest użyte złączenie zewnętrzne między dwiema tabelami (w Oraclu)? - (6)
,"SELECT region.region_name, employee.salary FROM region, employee WHERE region.id = employee.region_no;",
,"SELECT region.region_name, employee.salary FROM region, employee WHERE region.id = employee.region_no;",+
,"SELECT region.region_name, employeeinfo.last_name FROM employee region, employee employeeinfo WHERE employeeinfo.id >= region.manager_id;",
,"SELECT region.region_name, employee.salary FROM region, employee WHERE employee.salary BETWEEN region.avg_salary AND region.max_salary;",
247,Relacja R ma atrybut a. Jaka liczba może być wynikiem wykonania instrukcji SELECT Count(*) FROM R WHERE a=a - (3)
,zawsze tyle jaka jest liczebność relacji R,
,dowolna liczba naturalna,+
,1,+
,0,+
248,Jakie nazwiska zostaną wyświetlone w wyniku tego zapytania: SELECT ename FROM emp WHERE ename LIKE '_A%'; - (2)
,"nazwiska, w których litera A występuje na dowolnym miejscu poza pierwszym",
,"nazwiska, w których litera A występuje na drugim miejscu",+
,nazwiska kończące się na A,
,nazwiska zaczynające się na A,
249,Wyzwalacz w T-SQL jest uruchamiany - (4)
,"Po wykonaniu, ale przed zatwierdzeniem polecenia DML",+
,Przed wykonaniem polecenia DML,
,"Po wykonaniu, ale nie można określicz czy przed czy po zatwierdzeniu",
,Po wykonaniu i zatwierdzeniu polecenia DML,
250,"Która z poniższych instrukcji w PL/SQL nie zakończy się błędem, przy założeniu, że w tabeli DEPTNO są dwa rekordy z wartościami Deptno IN (10, 20) oraz prawidłowej deklaracji zmiennej v_deptno - (10)"
,SELECT deptno INTO v_deptno FROM dept WHERE deptno>0;,
,SELECT deptno INTO v_deptno FROM dept WHERE deptno=10;,+
,SELECT deptno INTO v_deptno FROM dept;,
,"SELECT deptno INTO v_deptno FROM dept WHERE deptno IN (10, 20);",
251,"Problem fantomów dotyczy sytuacji, w której: - (5)"
,W trakcie działania transakcji inna transakcja wstawiła nowy rekord,+
,W trakcie działania transakcji inna transakcja usunęła rekord,
,"Uzytkownik zobaczył rekord wprowadzony przez innego użytkownika, który nie został zatwierdzony przez COMMIT",
,Rekord został w obrębie jednej transakcji wprowadzony (INSERT) i od razu usunięty (DELETE),
252,Wyniki procedury T-SQL mogą być zwrócone przez - (5)
,Zmienną typu OUTPUT,+
,Zmienną wiązania,
,Dyrektywę RETURN,+
,Result Set,+
253,Kopia zapasowa dziennika transakcji: - (4)
,"Jest bezużyteczna, jeśli nie odtworzymy wcześniej pełnej kopii zapasowej",+
,Pozwala wyczyścić dziennik transakcji,+
,Zawiera zmiany w bazie danych wykonane od ostatniej kopii zapasowej dziennika transakcji,+
,Zawiera zmiany w bazie danych wykonane od ostatniej kopii różnicowej,
254,Pakiet w PL/SQL - (2)
,W pakiecie mogą być definiowane podprogramy (funkcje i procedury),+
,Zmienne zadeklarowane w części prywatnej pakietu są widoczne w jego części publicznej,
,Część prywatna (ciało) pakietu jest opcjonalna,+
,Zmienne zadeklarowane w części publicznej pakietu są widoczne w jego części prywatnej,+
255,"Zintegrowanie w definicji hurtowni danych oznacza, że: - (1)"
,dane są jednolite,+
,"dane, raz umieszczone w hurtowni, zazwyczaj pozostają nie zmienione",
,"zbierane dane dotyczą tematu, a nie działań",
,gromadzone są dane historyczne i każdy fakt opatrzony jest stemplem czasowym,
256,W procedurze (PROCEDURE) PL/SQL - (7)
,Domyślnym typem parametru jest IN OUT,+
,Deklarując parametr procedury nie podaje się jego typu,
,Deklarując parametr procedury można mu nadać wartość domyślną,+
,Jedynym typem parametru jest IN OUT,
257,W funkcji (FUNCTION) PL/SQL - (4)
,Zwracana jest wartość wyrażenia znajdującego się po instrukcji RETURN,+
,Wywołanie funkcji odbywa się przez jej nazwę,+
,Można użyć instrukcji DQL,+
,Nie można zadeklarować parametru typu OUT,
258,Zaznacz poprawne stwierdzenia: - (3)
,Każda instrukcja SELECT wymaga pobrania danych z dysku twardego,
,Wynik działania każdej instrukcji UPDATE jest natychmiast po zatwierdzeniu zapisywany w pliku z danymi,
,Wynik działania każdej instrukcji SELECT jest zapisywany w dzienniku transakcji,
,Wynik działania każdej instrukcji UPDATE jest natychmiast po zatwierdzeniu zapisywanyw dzienniku transakcji,+
259,Które z poniższych instrukcji wypisze tekst Ala123 w SQL Server? - (3)
,Print 'Ala' + '123';,+
,Print 'Ala' + Cast(123 As Varchar);,+
,Print 'Ala' + 123;,
,Print 'Ala' + Cast (1+2+3 As Varchar);,
260,"Dane są dwie tabele Osoby(Imie, Nazwisko, Zarobki, Id_działu) oraz Działy(Id_działu, Nazwa). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle - (2)"
,"SELECT Osoby.Nazwisko, Działy.Nazwa FROM Osoby, Działy, WHERE Osoby.Id_działu =Działy.Id_działu GROUP BY Osoby.Nazwisko HAVING COUNT (Działy.Id_działu) < 2;",
,UPDATE Osoby SET Id_działu = NULL WHERE 5>(SELECT COUNT(*) FROM Działy);,+
,DELETE FROM Osoby WHERE Osoby.Nazwisko='KOWALSKI' AND Działy.Id_działu=22;,
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski', 2000);",
261,Które z poniższych instrukcji w SQL Server jest składniowo poprawna (zostanie wykonana) - (1)
,SELECT empno FROM emp WHERE empno=empno;,+
,SELECT 1 FROM emp WHERE 1<>1;,+
,SELECT 1 FROM emp WHERE 1=1;,+
,SELECT empno FROM emp WHERE empno<>empno;,+
262,Wskazać poprawne zapytanie SQL (dialekt ORACLE) znajdujące dla każdego departamentu ostatnio zatrudnionych pracowników - (3)
,"SELECT deptno, ename, hiredate FROM emp WHERE hiredate = (SELECT MAX(hiredate) FROM emp GROUP BY deptno);",
,"SELECT deptno, ename, hiredate FROM emp WHERE (hiredate, deptno) IN (SELECT MAX(hiredate), deptno FROM emp GROUP BY deptno);",+
,"SELECT deptno, ename, hiredate FROM emp e WHERE hiredate = (SELECT MAX(hiredate) FROM emp WHERE deptno=e.deptno)",+
,"SELECT deptno, ename, MAX(hiredate) FROM emp GROUP BY deptno;",
263,Zaznacz poprawne stwierdzenia dotyczące typów LOB: - (6)
,Istnieją specjalne funkcje operujące na danych LOB.,+
,Można utworzyć wiele kolumn LOB w jednej tabeli.,+
,"Na rekordach zawierających dane LOB działają instrukcje SELECT, INSERT, UPDATE, DELETE.",+
,Kolumna LOB może wystąpić wyłącznie w tabeli typu obiektowego.,
264,Zaznacz poprawne stwierdzenia dotyczące wielowersyjności w bazach danych: - (4)
,MS SQL Server realizuje poziom izolacji READ COMMITTED przy pomocy wielowersyjności.,
,"MS SQL Server oferuje mechanizm, dzięki któremu możemy tworzyć statyczne obrazy (migawki) bazy danych, oparte na wielowersyjności.",+
,Oracle realizuje poziom izolacji READ COMMITTED przy pomocy wielowersyjności.,+
,Poziom izolacji SERIALIZABLE w MS SQL Server jest realizowany przy pomocy wielowersyjności.,
265,Aby posortować wyniki zapytania w odwrotnym porządku leksykograficznym przy nazwie sortowanej kolumny należy wpisać: - (6)
,"nic nie trzeba wpisywać, to domyślny sposób sortowania",
,DESC,+
,ASC,
266,W jaki sposób tworzy się perspektywę z opcją sprawdzania: - (0)
,pisząc na końcu polecenia tworzenia perspektywy: WITH MAKE SURE OPTION,
,pisząc na końcu polecenia tworzenia perspektywy: WITH PROVE CORRECT OPTION,
,"nie trzeba nic pisać, ponieważ jest to opcja domyślna",
,pisząc na końcu polecenia tworzenia perspektywy: WITH CHECK OPTION,+
267,Jakie znaczenie ma dziennik transakcji w serwerach baz danych? - (0)
,Pozwala zachować spójność danych po awarii,+
,Pozwala wycofywać transakcje,+
,Pozwala zarządzać uprawnieniami,
,Pozwala na odtworzenie stanu bazy danych z określonego punktu w czasie,+
268,Które ze stwierdzeń jest prawdziwe: - (0)
,perspektywa to to samo co tabela,
,używając perspektyw możemy w ogóle nie dbać o inne sposoby ochrony danych,
,perspektywy stanowią element ochrony danych przed niepowołanym lub nieprawidłowym dostępem do danych,+
,wiersze perspektywy mogą być wyliczane na żądanie,+
269,Znormalizowany schemat bazy danych: - (0)
,jest zawsze najbardziej wydajny.,
,schemat bazy danych nie ma wpływu na wydajność.,
,można poprawić wydajność zapytań do znormalizowanej bazy danych stosując perspektywy zmaterializowane.,+
,może być mniej wydajny niż schemat nieznormalizowany.,+
270,Która z poniższych instrukcji w SQL Server jest składniowo poprawna (zostanie wykonana) - (7)
,DELETE FROM emp WHERE empno = NULL;,+
,TRUNCATE emp;,+
,"INSERT INTO emp (ename, job) SELECT ename, job FROM emp;",+
,UPDATE emp SET sal = sal WHERE sal = sal;,+
271,Która z poniższych instrukcji PL/SQL prawidłowo podstawia wartość na zmienną (w tabeli EMP jest 14 rekordów)? - (4)
,SELECT ename INTO v_ename FROM emp;,
,SELECT v_ename = ename FROM emp WHERE empno = 1234;,
,DECLARE v_ala Varchar2(10) := 'Ala';,+
,SELECT ename INTO v_ename FROM dummy;,+
272,Rola w bazie danych: - (0)
,"Jest grupą obiektów bazy danych (tabel, procedur, perspektyw)",
,Jest obiektem bazy danych pozwalającym łatwiej zakładać indeksy,
,Jest grupą użytkowników,+
,Może mieć nadane uprawnienia,+
273,Procedura T-SQL zwraca poprzez Result Set - (0)
,Wszystkie wiersze ostatniej uruchomionej wewnątrz procedury instrukcji SELECT,+
,Poprzez Result Set mogą być zwracane wyłącznie komunikaty o błędach,
,Procedura może zwrócić wyniki tylko poprzez zmienną OUTPUT,
,Ostatni wiersz ostatniej uruchomionej wewnątrz procedury instrukcji SELECT,
274,W wyzwalaczu T-SQL - (0)
,Mogą być deklarowane zmienne,+
,Można używać instrukcji ROLLBACK,+
,Można używać kursororów,+
,Można używać instrukcji DML,+
275,Serwer baz danych może zarządzać współbieżnością dzięki: - (0)
,denormalizacji,
,materializacji,
,wielowersyjności,+
,rolom,
276,Które aksjomaty ACID są zapewnione przez użycie planu szeregowalnego: - (0)
,atomowość,
,spójność,+
,izolacja,+
,trwałość,
277,Czy replikacja przyśpiesza wykonywanie: - (0)
,instrukcji SELECT,+
,instrukcji INSERT,
,instrukcji DELETE,
,instrukcji UPDATE,
278,"Dane są dwie tabele Osoby(Imie, Nazwisko, Zarobki, Id_działu) oraz Działy(Id_działu, Nazwa). Które z następujących instrukcji są poprawnymi instrukcjami SQL w Oracle: - (5)"
,"SELECT Osoby.Nazwisko, Działy.Id_działu FROM Osoby, Działy WHERE Osoby.Id_działu=Działy.Id_działu GROUP BY Osoby.Nazwisko",
,"DELETE FROM Osoby, Działy WHERE Osoby.Nazwisko='KOWALSKI' AND Działy.Nazwa='KASA'",
,UPDATE Osoby SET Id_działu=NULL,+
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski', 2000)",
279,"Dana jest tabela Osoby(Imie, Nazwisko, Zarobki). Które z następujących instrukcji są składniowo poprawnymi instrukcjami SQL w Oracle: - (2)"
,UPDATE Osoby Nazwisko=USER,
,"INSERT INTO Osoby VALUES ('Jan', 'Kowalski', 2000) WHERE USER = 'KOWALSKI'",
,DELETE FROM Osoby WHERE USER='KOWALSKI',+
,"SELECT Osoby.Nazwisko, Osoby.Imie, Osoby.Zarobki FROM Osoby WHERE Osoby.Zarobki >1000",+
280,Które z poniższych stwierdzeń są prawdziwe: - (0)
,należy starać się użyć najmniejszej możliwej liczby tabel,
,należy wszystkie związki jednoznaczne zastąpić związkami jednojednoznacznymi,należy wszystkie związki jednoznaczne zastąpić związkami jednojednoznacznymi,,
należy wszystkie związki jednoznaczne zastąpić związkami jednojednoznacznymi,
,w tabeli nie powinno być żadnych niekontrolowanych redundancji,+
